Gene	B cells	CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Effector	Treg cell	Th cell	Monocytes CD16	Monocytes CD14	DC	pDC	NK	Plasma
ADRB2	4.66065232125976	2.67934079727926	4.25848067949804	2.32315644837641	11.3256773033758	37.3061848943159	3.11150735046469	3.70360358560511	7.92388606598182	14.9999176944327	11.2945082066143	12.6112758219444	51.3640988438475	0.801831605872348
AGK	3.41308382600304	3.79835638014056	4.37748276966997	4.30606912240518	6.59681177471387	8.21553894368416	3.98994124041612	3.65569808325692	1.44111840761276	2.17475023933711	2.24379400359734	3.1501943510711	27.1267090741208	2.34408386654264
AKR1C3	0.566743891164672	5.33016332597704	3.70715457888281	0.575318330011122	2.94132862207959	22.5371517242292	5.23084341104538	4.00448484326566	1.79311323675088	0.864083748676522	1.35948349211309	9.71205460114711	327.781014804718	0
APMAP	14.895108550709	19.5779484002983	18.9485601085514	17.8848188974997	38.8365075138516	156.312247268982	23.8833682097787	29.4723742815423	13.9283151100026	17.2454782159964	25.7624995657964	17.9921387263465	328.975936886257	27.0012899732981
BCL9L	0.49443150437898	1.76206014782693	1.46286149085132	2.4161498144113	2.33583243447195	2.45652646059916	0.508520432139541	0.510354942529706	0.684483926446748	0.342651753405666	0.397144243232582	0.872220038988549	3.25852952215113	1.60975671741197
CCDC65	1.32418816108714	11.6927037263777	16.8023057402749	9.39335806858649	21.0347491545571	20.2713750982414	22.223434243688	19.8110102350056	0.242518973514524	1.4174335038113	0	0	22.4352745329083	0
CCL4	30.8907125953386	16.9696471578581	21.5570768190898	13.739321609898	113.424696699522	1244.08505711782	2.07656399288593	1.43482495655627	83.6572225374657	55.7378601182717	48.0005824635797	111.930738391139	3145.56472958167	10.7578124449157
CD244	1.15091820155033	1.97653012011488	1.20510565666427	3.13913539749897	7.41298413872774	17.3090799384753	0.690517496564679	0.569096362793191	7.13430104618372	11.8681824407318	9.14992970445187	2.40082342971621	52.7230532931317	1.97096403272147
CD247	14.7446994082937	122.010239918061	120.371138605067	85.401949025429	114.995533598081	230.050745597795	181.099877398976	172.474268079105	6.91124433729181	7.63260228061589	8.02896619505161	10.4597319227158	898.629455530114	8.73852240771234
CD3E	24.7426873693299	453.655682458742	427.988253984935	453.05276986537	481.223210233647	559.070951850328	752.996152354823	719.027144943551	15.4080379716822	20.9175631110476	28.68214067519	37.0991277210618	175.667029923604	36.4699639319189
CD7	12.9510779075301	323.498317820051	198.171634941758	379.072158337509	384.081935115276	253.720491063658	316.857546636881	422.559844368017	11.9636723403163	12.5922375555907	20.794225764566	38.8828124551012	987.952556988025	8.58003603387889
CLIC3	5.53674583972062	6.53202287650911	12.9670888958408	12.5133391118628	119.774285338611	167.198183238238	14.9248120483306	13.5818882878497	7.66610316345219	4.52151149914963	11.8056767575744	1987.04104064418	1462.4782550295	12.4805839271448
CST7	20.8093457607001	38.6207388522674	104.348399457103	25.2340741979793	385.34212733852	2359.6876090602	118.872846192409	69.3862116917296	18.5259804870425	17.2785672524117	112.138999836846	28.603961867531	3662.68095864582	8.77720574851455
CTSW	22.3238868699137	96.9447183709227	115.340050090132	337.854616022253	659.444314535729	1269.23385124543	67.9241629540332	88.4536426268016	15.2396282401485	19.6698951143513	69.4141386613734	82.9379777558709	3000.05421691042	23.1650279886319
CYBA	858.72003072204	314.138041034517	462.683694096852	317.344467245035	569.741625924437	1017.44778485969	684.797816589706	516.10612670534	1670.69520232546	1611.02245117518	1228.62617234725	1798.37850338316	1625.24313014622	1842.3996300281
EOMES	0.316687857513569	0.614831169986998	0.700674014057083	0.879206597063674	3.59836223284176	21.7856154313447	0	0.43005413356898	0.386775064065198	0.315323286913209	0.308256160479158	0	18.3329540319626	0.666972498988025
FBXO44	5.61495922908033	6.03124764928036	5.26842254526317	4.19855985715118	5.02627208173568	7.87772072936272	8.03851735610262	5.41521866488515	1.46330672019179	0.734824035462909	2.64000564209659	5.0946639724113	16.5557289461821	1.97881209906887
GCDH	11.6601191266443	10.9667274057836	11.402080744728	12.2924426872864	15.5014525979504	16.1831207245564	14.1330219063766	18.15023712177	5.89555369902513	7.70831946363664	9.30767172899906	8.93541794839888	20.2761878442789	16.5632467722451
GNGT2	4.51171479470763	2.30376805448569	2.53003885085742	3.13483642630005	8.03717203139178	20.2810890998223	3.41910897124105	3.78779965352878	9.33967493288312	43.5021285537622	27.5927479902635	4.04198193193563	62.7740256490529	3.83602426387989
GNLY	45.3263702886685	65.8638096810072	108.285138005748	36.2954155557101	554.064001373919	1452.10230809219	19.5375454212192	55.0044458588944	52.9794210954705	55.3393218639133	43.0641108059635	101.105229373892	17690.190250919	72.3393865145807
GNPTAB	2.33081000654943	1.83749353428839	1.76888128083605	1.55756315704147	2.14631395767497	6.9155198231828	0.861344688596005	0.898896218548262	2.10565501720742	2.14691909747354	2.87432209462082	3.49243406169991	19.3348799376386	1.37096688082389
GTF3C1	0.904519575814068	0.701743988081232	0.823212679503942	0.826321793927127	1.70329549140913	6.0867990257382	0.494260933080654	0.541610736363574	1.06758873589955	0.999353816475062	0.481202176060189	3.12088390301194	9.85984857035658	0.631382929048191
GZMA	18.4711916167498	38.4600893089156	112.137176227742	23.5702333715622	376.661365005143	2194.43420288114	97.8785344276971	113.323507328517	14.6693787249242	19.4065479883443	24.2343239184203	24.8486703603165	3998.276158896	20.3555497155535
